-90, 180
-72, 180
-54, 180
-36, 180
-18, 180
0, 180
18, 180
36, 180
54, 180
72, 180
90, 180
-90, 128.57143
-72, 128.57143
-54, 128.57143
-36, 128.57143
-18, 128.57143
0, 128.57143
18, 128.57143
36, 128.57143
54, 128.57143
72, 128.57143
90, 128.57143
-90, 77.14286
-72, 77.14286
-54, 77.14286
-36, 77.14286
-18, 77.14286
0, 77.14286
18, 77.14286
36, 77.14286
54, 77.14286
72, 77.14286
90, 77.14286
-90, 25.71429
-72, 25.71429
-54, 25.71429
-36, 25.71429
-18, 25.71429
0, 25.71429
18, 25.71429
36, 25.71429
54, 25.71429
72, 25.71429
90, 25.71429
-90, -25.71429
-72, -25.71429
-54, -25.71429
-36, -25.71429
-18, -25.71429
0, -25.71429
18, -25.71429
36, -25.71429
54, -25.71429
72, -25.71429
90, -25.71429
-90, -77.14286
-72, -77.14286
-54, -77.14286
-36, -77.14286
-18, -77.14286
0, -77.14286
18, -77.14286
36, -77.14286
54, -77.14286
72, -77.14286
90, -77.14286
-90, -128.57143
-72, -128.57143
-54, -128.57143
-36, -128.57143
-18, -128.57143
0, -128.57143
18, -128.57143
36, -128.57143
54, -128.57143
72, -128.57143
90, -128.57143
-90, -180
-72, -180
-54, -180
-36, -180
-18, -180
0, -180
18, -180
36, -180
54, -180
72, -180
90, -180
